"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 03- 24","4.0750","4.1015","4.1485","4.0505","","-1.18%"
"2023- 03- 23","4.1235","4.0430","4.1265","4.0225","79.53K","1.95%"
"2023- 03- 22","4.0445","4.0015","4.1075","3.9715","78.06K","1.26%"
"2023- 03- 21","3.9940","3.9555","4.0345","3.9285","69.31K","1.08%"
"2023- 03- 20","3.9515","3.9085","3.9700","3.8550","73.79K","1.52%"
"2023- 03- 17","3.8925","3.8765","3.9525","3.8700","72.13K","0.72%"
"2023- 03- 16","3.8645","3.8835","3.9030","3.8220","85.38K","0.56%"
"2023- 03- 15","3.8430","4.0050","4.0275","3.8400","131.41K","-4.00%"
"2023- 03- 14","4.0030","4.0420","4.0525","3.9820","71.16K","-1.25%"
"2023- 03- 13","4.0535","4.0075","4.0775","3.9215","133.48K","0.57%"
"2023- 03- 10","4.0305","4.0070","4.0635","3.9670","84.98K","-0.21%"
"2023- 03- 09","4.0390","4.0270","4.0550","3.9955","54.53K","0.30%"
"2023- 03- 08","4.0270","3.9675","4.0725","3.9610","79.04K","1.31%"
"2023- 03- 07","3.9750","4.0750","4.0950","3.9630","77.40K","-2.78%"
"2023- 03- 06","4.0885","4.0650","4.0930","4.0085","63.75K","0.53%"
"2023- 03- 03","4.0670","4.0745","4.1175","4.0605","","-0.22%"
"2023- 03- 02","4.0760","4.1685","4.1740","4.0470","","-2.02%"
"2023- 03- 01","4.1600","4.0745","4.1745","4.0650","87.33K","1.72%"
"2023- 02- 28","4.0895","4.0100","4.0945","3.9915","71.44K","1.96%"
"2023- 02- 27","4.0110","3.9600","4.0240","3.9370","83.88K","1.49%"
"2023- 02- 24","3.9520","4.0555","4.0765","3.9465","","-2.64%"
"2023- 02- 23","4.0590","4.1790","4.1885","4.0390","73.18K","-3.14%"
"2023- 02- 22","4.1905","4.2140","4.2240","4.1485","70.16K","-0.83%"
"2023- 02- 21","4.2255","4.1260","4.2370","4.1015","126.19K","1.07%"
"2023- 02- 20","4.1807","4.1195","4.1980","4.1020","","1.49%"
"2023- 02- 19","4.1195","4.1288","4.1305","4.1178","","0.27%"
"2023- 02- 17","4.1085","4.1195","4.1335","4.0590","68.60K","-0.65%"
"2023- 02- 16","4.1355","4.0245","4.1465","4.0185","108.49K","3.12%"
"2023- 02- 15","4.0105","4.0875","4.0910","3.9785","103.17K","-1.58%"
"2023- 02- 14","4.0750","4.0590","4.1110","4.0255","93.92K","0.43%"
"2023- 02- 13","4.0575","4.0185","4.0685","3.9935","74.43K","1.02%"
"2023- 02- 10","4.0165","4.0745","4.0825","4.0050","86.48K","-1.96%"
"2023- 02- 09","4.0970","4.0475","4.1205","4.0395","96.58K","1.52%"
"2023- 02- 08","4.0355","4.0700","4.1165","4.0160","85.50K","-1.10%"
"2023- 02- 07","4.0805","4.0380","4.0865","4.0025","90.92K","1.13%"
"2023- 02- 06","4.0350","4.0415","4.0740","3.9930","75.84K","-0.53%"
"2023- 02- 03","4.0565","4.0910","4.1360","4.0305","91.47K","-0.84%"
"2023- 02- 02","4.0910","4.1815","4.1995","4.0780","82.56K","-0.49%"
"2023- 02- 01","4.1110","4.2235","4.2250","4.1025","88.15K","-2.72%"
"2023- 01- 31","4.2260","4.1845","4.2315","4.1185","86.17K","0.57%"
"2023- 01- 30","4.2020","4.2300","4.2490","4.1680","63.12K","-0.49%"
"2023- 01- 27","4.2225","4.2820","4.2870","4.1720","63.41K","-1.05%"
"2023- 01- 26","4.2675","4.2645","4.2900","4.2325","58.23K","0.54%"
"2023- 01- 25","4.2445","4.2645","4.2735","4.2110","51.11K","-0.09%"
"2023- 01- 24","4.2485","4.2590","4.2825","4.2155","51.17K","-0.19%"
"2023- 01- 23","4.2565","4.2795","4.3025","4.2260","57.18K","0.12%"
"2023- 01- 20","4.2515","4.2450","4.2795","4.2065","59.75K","0.47%"
"2023- 01- 19","4.2315","4.2265","4.2685","4.1680","78.54K","-0.07%"
"2023- 01- 18","4.2345","4.2335","4.3550","4.2050","104.62K","0.27%"
"2023- 01- 17","4.2230","4.2105","4.2445","4.1105","113.11K","1.92%"
"2023- 01- 16","4.1433","4.2062","4.2105","4.1382","","-1.49%"
"2023- 01- 15","4.2060","4.2198","4.2198","4.2058","","-0.24%"
"2023- 01- 13","4.2160","4.1730","4.2225","4.1285","69.52K","0.46%"
"2023- 01- 12","4.1965","4.1755","4.2115","4.1295","96.27K","0.73%"
"2023- 01- 11","4.1660","4.0800","4.1850","4.0655","88.48K","2.17%"
"2023- 01- 10","4.0775","4.0120","4.0835","3.9875","72.22K","1.27%"
"2023- 01- 09","4.0265","3.9235","4.0445","3.9235","102.47K","2.95%"
"2023- 01- 06","3.9110","3.8255","3.9300","3.7985","96.75K","2.36%"
"2023- 01- 05","3.8210","3.7405","3.8420","3.7215","76.73K","2.15%"
"2023- 01- 04","3.7405","3.7710","3.8070","3.7085","80.27K","-0.69%"
"2023- 01- 03","3.7665","3.8355","3.8715","3.7585","83.90K","-1.92%"
"2023- 01- 02","3.8403","3.8192","3.8480","3.8185","","0.72%"
"2022- 12- 30","3.8130","3.8135","3.8150","3.8135","0.01K","-0.35%"
"2022- 12- 29","3.8265","3.8360","3.8360","3.8250","0.04K","-0.42%"
"2022- 12- 28","3.8425","3.8490","3.8730","3.8210","42.61K","0.05%"
"2022- 12- 27","3.8405","3.8400","3.9415","3.8320","48.12K","-0.44%"
"2022- 12- 26","3.8575","3.8125","3.8675","3.8125","","1.27%"
"2022- 12- 23","3.8090","3.7645","3.8170","3.7610","38.56K","1.38%"
"2022- 12- 22","3.7570","3.8180","3.8490","3.7495","44.39K","-1.39%"
"2022- 12- 21","3.8100","3.8070","3.8285","3.7890","39.35K","0.29%"
"2022- 12- 20","3.7990","3.7610","3.8305","3.7230","55.30K","0.42%"
"2022- 12- 19","3.7830","3.7695","3.8245","3.7495","38.27K","0.57%"
"2022- 12- 16","3.7615","3.7760","3.8050","3.7330","46.14K","-0.04%"
"2022- 12- 15","3.7630","3.8635","3.8675","3.7570","60.79K","-2.97%"
"2022- 12- 14","3.8780","3.8455","3.8920","3.8230","50.21K","0.94%"
