"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 03- 24","1,428.25","1,419.50","1,432.00","1,405.00","","0.62%"
"2023- 03- 23","1,419.50","1,450.00","1,454.25","1,415.25","157.57K","-2.00%"
"2023- 03- 22","1,448.50","1,467.75","1,472.00","1,443.25","141.74K","-1.26%"
"2023- 03- 21","1,467.00","1,483.75","1,497.00","1,465.00","101.49K","-1.28%"
"2023- 03- 20","1,486.00","1,473.00","1,487.75","1,462.00","122.78K","0.64%"
"2023- 03- 17","1,476.50","1,492.50","1,498.00","1,470.00","119.47K","-1.01%"
"2023- 03- 16","1,491.50","1,489.25","1,498.00","1,478.00","107.04K","0.15%"
"2023- 03- 15","1,489.25","1,494.00","1,500.00","1,480.00","115.25K","-0.70%"
"2023- 03- 14","1,499.75","1,501.00","1,502.50","1,499.75","0.04K","-0.02%"
"2023- 03- 13","1,500.00","1,521.75","1,524.75","1,500.50","0.14K","-0.86%"
"2023- 03- 10","1,513.00","1,515.00","1,521.75","1,511.00","0.47K","0.15%"
"2023- 03- 09","1,510.75","1,517.50","1,528.75","1,505.50","","-0.49%"
"2023- 03- 08","1,518.25","1,514.50","1,533.50","1,511.00","","0.13%"
"2023- 03- 07","1,516.25","1,528.50","1,531.00","1,513.00","","-0.80%"
"2023- 03- 06","1,528.50","1,520.00","1,538.50","1,510.75","","0.64%"
"2023- 03- 03","1,518.75","1,509.25","1,525.00","1,507.25","","0.63%"
"2023- 03- 02","1,509.25","1,494.50","1,514.75","1,489.50","","1.00%"
"2023- 03- 01","1,494.25","1,481.50","1,498.25","1,480.25","","1.03%"
"2023- 02- 28","1,479.00","1,512.50","1,513.25","1,477.75","162.74K","-2.23%"
"2023- 02- 27","1,512.75","1,519.50","1,524.62","1,508.38","","-1.06%"
"2023- 02- 24","1,529.00","1,536.25","1,544.25","1,526.00","60.07K","-0.34%"
"2023- 02- 23","1,534.25","1,539.75","1,545.25","1,532.75","85.55K","-0.34%"
"2023- 02- 22","1,539.50","1,546.75","1,554.00","1,538.00","90.52K","-0.60%"
"2023- 02- 21","1,548.75","1,536.50","1,549.00","1,535.00","115.70K","1.56%"
"2023- 02- 19","1,525.00","1,526.00","1,526.00","1,525.00","","-0.15%"
"2023- 02- 17","1,527.25","1,526.00","1,533.25","1,524.25","93.64K","0.05%"
"2023- 02- 16","1,526.50","1,525.25","1,532.25","1,520.50","115.38K","0.05%"
"2023- 02- 15","1,525.75","1,536.50","1,537.00","1,516.50","132.12K","-0.76%"
"2023- 02- 14","1,537.50","1,542.00","1,544.75","1,532.75","115.53K","-0.34%"
"2023- 02- 13","1,542.75","1,542.00","1,555.50","1,537.00","162.41K","0.02%"
"2023- 02- 10","1,542.50","1,518.00","1,543.25","1,515.50","173.80K","1.53%"
"2023- 02- 09","1,519.25","1,518.50","1,533.75","1,512.00","189.47K","-0.03%"
"2023- 02- 08","1,519.75","1,516.00","1,527.75","1,505.75","177.79K","0.30%"
"2023- 02- 07","1,515.25","1,521.00","1,530.50","1,511.00","164.24K","-0.39%"
"2023- 02- 06","1,521.25","1,532.00","1,535.50","1,516.75","131.71K","-0.70%"
"2023- 02- 03","1,532.00","1,533.50","1,539.75","1,524.75","101.44K","-0.15%"
"2023- 02- 02","1,534.25","1,522.75","1,537.75","1,522.50","99.74K","0.92%"
"2023- 02- 01","1,520.25","1,537.50","1,542.75","1,510.75","129.98K","-1.15%"
"2023- 01- 31","1,538.00","1,533.50","1,543.75","1,524.50","126.43K","0.18%"
"2023- 01- 30","1,535.25","1,516.25","1,538.00","1,516.25","123.62K","1.71%"
"2023- 01- 27","1,509.50","1,521.75","1,527.00","1,506.50","101.76K","-0.92%"
"2023- 01- 26","1,523.50","1,506.50","1,526.25","1,500.00","123.25K","1.40%"
"2023- 01- 25","1,502.50","1,488.25","1,504.75","1,478.25","119.10K","0.94%"
"2023- 01- 24","1,488.50","1,491.50","1,506.50","1,487.00","129.46K","-0.12%"
"2023- 01- 23","1,490.25","1,500.00","1,503.00","1,479.75","134.89K","-1.08%"
"2023- 01- 20","1,506.50","1,514.25","1,521.75","1,504.00","98.92K","-0.54%"
"2023- 01- 19","1,514.75","1,523.50","1,528.50","1,509.00","124.40K","-0.64%"
"2023- 01- 18","1,524.50","1,537.00","1,548.50","1,511.25","133.37K","-0.99%"
"2023- 01- 17","1,539.75","1,518.75","1,541.00","1,512.50","118.31K","0.10%"
"2023- 01- 13","1,538.25","1,525.00","1,536.00","1,525.00","0.30K","0.57%"
"2023- 01- 12","1,529.50","1,511.50","1,541.75","1,511.50","0.49K","0.96%"
"2023- 01- 11","1,515.00","1,515.25","1,520.50","1,510.00","0.62K","0.33%"
"2023- 01- 10","1,510.00","1,501.50","1,518.50","1,501.50","0.35K","0.43%"
"2023- 01- 09","1,503.50","1,506.00","1,513.00","1,502.00","0.45K","0.13%"
"2023- 01- 06","1,501.50","1,471.75","1,503.25","1,471.75","2.02K","2.37%"
"2023- 01- 05","1,466.75","1,481.25","1,481.25","1,462.00","1.17K","-0.78%"
"2023- 01- 04","1,478.25","1,491.75","1,496.25","1,477.25","2.20K","-0.61%"
"2023- 01- 03","1,487.25","1,519.25","1,523.25","1,485.00","2.95K","-2.41%"
"2022- 12- 30","1,524.00","1,515.50","1,537.50","1,514.25","","0.51%"
"2022- 12- 29","1,516.25","1,513.00","1,524.25","1,509.00","","0.13%"
"2022- 12- 28","1,514.25","1,490.25","1,517.50","1,489.50","","1.70%"
"2022- 12- 27","1,489.00","1,495.75","1,522.75","1,485.00","","0.68%"
"2022- 12- 23","1,479.00","1,468.75","1,484.00","1,466.25","52.84K","0.77%"
"2022- 12- 22","1,467.75","1,480.00","1,484.00","1,463.50","75.91K","-0.89%"
"2022- 12- 21","1,481.00","1,477.00","1,489.00","1,475.25","84.79K","0.17%"
"2022- 12- 20","1,478.50","1,461.75","1,486.75","1,460.25","111.70K","1.22%"
"2022- 12- 19","1,460.75","1,470.00","1,476.00","1,460.00","101.72K","-1.30%"
"2022- 12- 16","1,480.00","1,473.50","1,486.00","1,465.50","69.33K","0.44%"
"2022- 12- 15","1,473.50","1,481.00","1,486.00","1,468.00","97.51K","-0.59%"
"2022- 12- 14","1,482.25","1,479.50","1,487.00","1,468.00","112.12K","0.17%"
"2022- 12- 13","1,479.75","1,461.25","1,487.75","1,460.75","145.78K","1.32%"
"2022- 12- 12","1,460.50","1,483.50","1,483.50","1,457.75","125.86K","-1.57%"
"2022- 12- 09","1,483.75","1,484.25","1,492.75","1,477.75","96.09K","-0.17%"
"2022- 12- 08","1,486.25","1,471.00","1,492.25","1,468.00","141.92K","0.97%"
"2022- 12- 07","1,472.00","1,456.00","1,478.00","1,455.75","145.11K","1.17%"
"2022- 12- 06","1,455.00","1,437.50","1,472.50","1,437.00","126.97K","1.20%"
"2022- 12- 05","1,437.75","1,440.50","1,451.00","1,435.25","82.71K","-0.05%"
"2022- 12- 02","1,438.50","1,432.00","1,443.00","1,425.50","91.65K","0.61%"
"2022- 12- 01","1,429.75","1,466.00","1,469.75","1,425.25","134.07K","-2.71%"
"2022- 11- 30","1,469.50","1,457.25","1,478.50","1,457.25","93.20K","0.69%"
"2022- 11- 29","1,459.50","1,454.75","1,468.50","1,449.00","91.12K","0.15%"
"2022- 11- 28","1,457.25","1,428.25","1,461.75","1,424.00","102.36K","1.46%"
"2022- 11- 25","1,436.25","1,436.75","1,448.00","1,431.00","41.57K","0.02%"
"2022- 11- 23","1,436.00","1,431.50","1,441.00","1,422.25","67.12K","0.44%"
"2022- 11- 22","1,429.75","1,436.00","1,443.50","1,428.25","69.27K","-0.45%"
"2022- 11- 21","1,436.25","1,426.38","1,437.88","1,417.25","","0.56%"
"2022- 11- 18","1,428.25","1,419.00","1,430.75","1,412.25","","0.79%"
"2022- 11- 17","1,417.00","1,430.00","1,431.75","1,406.75","88.31K","-0.86%"
"2022- 11- 16","1,429.25","1,454.75","1,455.00","1,423.25","","-1.92%"
"2022- 11- 15","1,457.25","1,440.00","1,464.75","1,432.50","","1.16%"
"2022- 11- 14","1,440.50","1,449.25","1,455.25","1,434.25","","-0.78%"
"2022- 11- 11","1,451.88","1,424.62","1,458.62","1,424.62","","2.09%"
"2022- 11- 10","1,422.12","1,453.88","1,458.88","1,421.00","","-2.02%"
"2022- 11- 09","1,451.50","1,445.12","1,457.38","1,434.88","","0.31%"
"2022- 11- 08","1,447.00","1,451.62","1,453.75","1,440.50","","-0.22%"
"2022- 11- 07","1,450.25","1,455.00","1,469.00","1,447.00","","-0.82%"
"2022- 11- 04","1,462.25","1,436.25","1,465.50","1,431.50","","1.76%"
"2022- 11- 03","1,437.00","1,453.00","1,453.50","1,428.00","","-1.17%"
"2022- 11- 02","1,454.00","1,446.00","1,457.75","1,431.00","","0.43%"
"2022- 11- 01","1,447.75","1,417.00","1,449.00","1,414.25","","1.99%"
"2022- 10- 31","1,419.50","1,415.00","1,424.00","1,397.75","","2.29%"
"2022- 10- 28","1,387.75","1,382.00","1,390.75","1,370.00","","0.40%"
"2022- 10- 27","1,382.25","1,381.25","1,394.75","1,378.25","","0.04%"
"2022- 10- 26","1,381.75","1,381.50","1,397.75","1,378.75","","-0.02%"
"2022- 10- 25","1,382.00","1,372.00","1,386.50","1,366.00","98.75K","0.73%"
"2022- 10- 24","1,372.00","1,393.00","1,393.00","1,368.25","","-1.68%"
"2022- 10- 21","1,395.50","1,390.25","1,398.50","1,375.50","","0.43%"
"2022- 10- 20","1,389.50","1,370.62","1,396.38","1,370.25","","1.24%"
"2022- 10- 19","1,372.50","1,371.75","1,378.50","1,357.00","","0.04%"
"2022- 10- 18","1,372.00","1,383.00","1,390.00","1,364.25","143.27K","-0.96%"
"2022- 10- 17","1,385.25","1,381.50","1,395.00","1,376.25","","0.11%"
"2022- 10- 14","1,383.75","1,394.00","1,410.00","1,382.75","","-0.86%"
"2022- 10- 13","1,395.75","1,394.50","1,405.00","1,378.75","","0.02%"
"2022- 10- 12","1,395.50","1,371.88","1,410.00","1,367.50","","1.40%"
"2022- 10- 11","1,376.25","1,373.25","1,385.25","1,365.25","","0.16%"
"2022- 10- 10","1,374.00","1,367.00","1,398.75","1,366.50","","0.51%"
"2022- 10- 07","1,367.00","1,358.00","1,373.50","1,350.75","","0.66%"
"2022- 10- 06","1,358.00","1,369.50","1,376.75","1,350.00","","-0.86%"
