"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 03- 24","77.17","75.75","77.53","75.62","8.90K","1.87%"
"2023- 03- 23","75.75","76.08","76.45","75.12","9.49K","-0.43%"
"2023- 03- 22","76.08","77.10","77.50","75.95","11.59K","-1.26%"
"2023- 03- 21","77.05","77.58","78.10","77.00","12.83K","-0.94%"
"2023- 03- 20","77.78","78.70","79.03","77.42","21.24K","-2.63%"
"2023- 03- 17","79.88","79.85","80.75","78.30","28.65K","0.54%"
"2023- 03- 16","79.45","83.50","83.75","79.10","43.36K","-5.13%"
"2023- 03- 15","83.75","85.20","85.40","83.58","30.11K","-1.93%"
"2023- 03- 14","85.40","86.22","86.33","85.03","22.38K","-0.95%"
"2023- 03- 13","86.22","86.72","87.42","85.75","29.56K","-1.41%"
"2023- 03- 10","87.45","85.00","87.50","85.00","37.28K","2.79%"
"2023- 03- 09","85.08","85.20","86.33","84.17","33.92K","-0.78%"
"2023- 03- 08","85.75","84.47","86.17","84.22","34.60K","1.12%"
"2023- 03- 07","84.80","83.83","84.88","83.20","33.18K","1.59%"
"2023- 03- 06","83.47","84.10","84.97","83.30","22.30K","-1.28%"
"2023- 03- 03","84.55","83.78","85.08","83.53","19.57K","0.83%"
"2023- 03- 02","83.85","85.50","85.88","83.62","24.28K","-1.29%"
"2023- 03- 01","84.95","84.83","85.35","84.08","26.64K","-0.26%"
"2023- 02- 28","85.17","85.03","85.67","84.22","20.18K","0.53%"
"2023- 02- 27","84.72","85.95","86.88","84.47","23.10K","-1.52%"
"2023- 02- 24","86.03","87.10","87.30","85.67","17.99K","-0.20%"
"2023- 02- 23","86.20","86.45","86.65","85.38","20.95K","-0.40%"
"2023- 02- 22","86.55","88.12","88.33","86.17","30.02K","-2.86%"
"2023- 02- 21","89.10","86.25","89.88","86.25","37.17K","4.39%"
"2023- 02- 19","85.35","85.35","85.35","85.35","","0.08%"
"2023- 02- 17","85.28","85.88","87.10","85.20","20.83K","-0.58%"
"2023- 02- 16","85.78","85.95","86.22","85.10","16.27K","-0.83%"
"2023- 02- 15","86.50","86.67","87.35","85.85","14.43K","14.31%"
"2023- 02- 14","75.67","75.75","75.83","75.65","2.18K","-0.21%"
"2023- 02- 13","75.83","75.80","75.95","75.70","3.09K","-0.07%"
"2023- 02- 10","75.88","75.80","76.08","75.70","1.58K","0.07%"
"2023- 02- 09","75.83","75.67","76.20","75.53","3.03K","-0.12%"
"2023- 02- 08","75.92","74.97","76.20","74.92","5.78K","0.72%"
"2023- 02- 07","75.38","75.17","75.58","74.90","4.88K","0.44%"
"2023- 02- 06","75.05","74.78","75.62","74.47","11.79K","0.03%"
"2023- 02- 03","75.03","75.35","75.90","74.88","5.40K","-0.42%"
"2023- 02- 02","75.35","74.35","75.62","74.35","6.43K","1.87%"
"2023- 02- 01","73.97","74.75","75.12","73.55","9.89K","-1.22%"
"2023- 01- 31","74.88","75.15","75.28","74.60","4.94K","-0.36%"
"2023- 01- 30","75.15","75.62","75.83","75.08","5.22K","-0.96%"
"2023- 01- 27","75.88","76.97","77.08","75.83","5.98K","-1.49%"
"2023- 01- 26","77.03","76.72","77.42","75.60","10.10K","0.30%"
"2023- 01- 25","76.80","77.15","77.35","76.30","6.21K","-0.39%"
"2023- 01- 24","77.10","78.00","78.10","76.42","10.01K","-0.62%"
"2023- 01- 23","77.58","77.85","78.20","77.08","7.87K","-0.32%"
"2023- 01- 20","77.83","77.15","78.55","76.90","11.02K","1.54%"
"2023- 01- 19","76.65","77.17","77.65","76.40","15.37K","-0.88%"
"2023- 01- 18","77.33","77.75","78.50","77.12","20.37K","-1.43%"
"2023- 01- 17","78.45","78.83","79.90","77.88","19.95K","-0.10%"
"2023- 01- 15","78.53","78.53","78.53","78.53","","-0.16%"
"2023- 01- 13","78.65","78.55","79.40","77.67","24.38K","-0.13%"
"2023- 01- 12","78.75","79.10","80.08","77.58","24.60K","-0.69%"
"2023- 01- 11","79.30","79.80","80.15","78.83","25.41K","-0.63%"
"2023- 01- 10","79.80","80.17","80.60","79.35","26.60K","-1.24%"
"2023- 01- 09","80.80","80.35","81.62","79.70","31.59K","0.65%"
"2023- 01- 06","80.28","82.33","82.35","80.12","28.99K","-2.73%"
"2023- 01- 05","82.53","83.55","83.97","81.60","29.06K","-1.84%"
"2023- 01- 04","84.08","84.88","86.03","83.47","25.94K","-1.18%"
"2023- 01- 03","85.08","87.42","87.97","84.60","27.91K","-3.29%"
"2023- 01- 01","87.97","87.97","87.97","87.97","","0.31%"
"2022- 12- 30","87.70","88.67","88.67","87.25","14.08K","-1.09%"
"2022- 12- 29","88.67","89.78","90.50","88.50","14.10K","-2.35%"
"2022- 12- 28","90.80","90.47","91.47","90.22","18.10K","-0.73%"
"2022- 12- 27","91.47","87.70","91.60","87.70","29.81K","4.03%"
"2022- 12- 25","87.93","87.93","87.93","87.93","","0.11%"
"2022- 12- 23","87.83","88.45","89.20","87.10","11.87K","-1.37%"
"2022- 12- 22","89.05","88.28","89.33","86.88","22.12K","0.74%"
"2022- 12- 21","88.40","83.90","88.88","83.90","28.38K","4.93%"
"2022- 12- 20","84.25","85.25","85.55","84.00","14.51K","-1.69%"
"2022- 12- 19","85.70","84.97","86.55","84.83","13.08K","-0.09%"
"2022- 12- 16","85.78","81.65","86.28","81.65","22.74K","5.06%"
"2022- 12- 15","81.65","83.10","83.30","81.53","20.64K","-0.83%"
"2022- 12- 14","82.33","82.55","82.58","82.15","1.34K","-0.08%"
"2022- 12- 13","82.40","81.90","82.55","81.78","2.29K","0.55%"
"2022- 12- 12","81.95","81.83","82.70","81.67","1.85K","0.45%"
"2022- 12- 09","81.58","81.53","81.88","81.15","2.15K","-0.51%"
"2022- 12- 08","82.00","82.10","82.10","81.50","3.28K","-0.46%"
"2022- 12- 07","82.38","82.83","83.17","82.33","4.48K","0.12%"
"2022- 12- 06","82.28","81.53","82.90","81.15","10.58K","0.24%"
"2022- 12- 05","82.08","82.83","82.95","81.72","4.65K","-0.41%"
"2022- 12- 02","82.42","82.88","83.15","82.35","5.25K","-0.84%"
"2022- 12- 01","83.12","82.97","83.50","82.33","8.43K","0.27%"
"2022- 11- 30","82.90","81.00","83.22","80.95","8.60K","2.24%"
"2022- 11- 29","81.08","81.17","81.65","80.75","9.78K","0.60%"
"2022- 11- 28","80.60","83.50","83.58","80.55","24.47K","-3.80%"
"2022- 11- 25","83.78","83.95","84.67","83.53","5.63K","-0.20%"
"2022- 11- 23","83.95","84.10","85.00","83.83","6.29K","-0.36%"
"2022- 11- 22","84.25","83.72","85.03","83.65","8.39K","0.54%"
"2022- 11- 21","83.80","84.50","84.62","83.47","10.68K","-0.50%"
"2022- 11- 18","84.22","84.75","85.05","83.92","9.67K","-0.88%"
"2022- 11- 17","84.97","85.05","86.10","84.60","13.66K","-0.71%"
"2022- 11- 16","85.58","85.40","86.17","84.80","11.90K","0.29%"
"2022- 11- 15","85.33","84.90","86.58","84.60","20.31K","0.53%"
"2022- 11- 14","84.88","84.97","85.95","84.35","13.34K","0.63%"
"2022- 11- 11","84.35","85.05","85.70","83.80","19.32K","-0.62%"
"2022- 11- 10","84.88","85.08","85.28","84.28","22.97K","-0.47%"
"2022- 11- 09","85.28","85.05","86.15","84.58","29.21K","-0.35%"
"2022- 11- 08","85.58","87.00","87.05","84.83","28.57K","-1.69%"
"2022- 11- 07","87.05","82.97","87.58","82.90","39.03K","4.92%"
"2022- 11- 04","82.97","84.17","84.17","82.83","19.87K","-0.49%"
"2022- 11- 03","83.38","83.30","84.75","83.20","16.94K","0.10%"
"2022- 11- 02","83.30","84.50","84.85","83.25","24.27K","-2.23%"
"2022- 11- 01","85.20","84.65","85.85","84.65","18.19K","0.33%"
"2022- 10- 31","84.92","86.62","86.83","84.42","25.45K","-1.37%"
"2022- 10- 28","86.10","85.65","86.65","84.78","22.53K","1.15%"
"2022- 10- 27","85.12","87.88","88.28","84.67","30.20K","-3.82%"
"2022- 10- 26","88.50","88.12","89.55","87.78","23.37K","0.06%"
"2022- 10- 25","88.45","88.12","89.03","87.28","25.86K","0.60%"
"2022- 10- 24","87.92","88.53","88.90","87.67","26.65K","-1.35%"
"2022- 10- 21","89.12","86.90","89.80","86.60","23.94K","2.40%"
"2022- 10- 20","87.03","87.30","87.38","86.05","15.12K","-0.40%"
"2022- 10- 19","87.38","86.72","87.50","86.25","21.75K","1.05%"
"2022- 10- 18","86.47","84.97","86.75","84.65","27.23K","1.79%"
"2022- 10- 17","84.95","82.47","85.10","81.40","27.11K","-9.03%"
"2022- 10- 14","93.38","93.47","93.60","93.33","0.75K","-0.04%"
"2022- 10- 13","93.42","93.22","93.55","93.22","2.58K","0.34%"
"2022- 10- 12","93.10","93.20","93.25","92.78","2.23K","0.08%"
"2022- 10- 11","93.03","93.47","93.47","92.75","2.94K","-0.77%"
"2022- 10- 10","93.75","93.17","93.92","93.08","4.10K","0.86%"
"2022- 10- 07","92.95","92.65","93.10","91.85","4.87K","0.62%"
"2022- 10- 06","92.38","91.33","92.47","91.25","5.88K","1.74%"
"2022- 10- 05","90.80","87.90","91.00","87.53","9.87K","4.37%"
"2022- 10- 04","87.00","89.28","89.35","86.20","9.62K","-2.00%"
"2022- 10- 03","88.78","88.72","90.33","88.53","5.08K","-0.49%"
"2022- 09- 30","89.22","90.22","90.40","88.85","5.07K","-0.26%"
"2022- 09- 29","89.45","89.97","90.92","89.40","4.77K","0.08%"
"2022- 09- 28","89.38","89.05","89.78","88.28","8.14K","0.77%"
"2022- 09- 27","88.70","91.12","91.38","88.42","16.37K","-1.86%"
"2022- 09- 26","90.38","92.62","93.08","89.28","14.40K","-2.42%"
"2022- 09- 23","92.62","94.03","94.12","92.53","11.65K","-1.59%"
"2022- 09- 22","94.12","94.50","95.10","93.75","7.24K","-0.32%"
"2022- 09- 21","94.42","96.00","96.17","94.33","10.66K","-1.62%"
"2022- 09- 20","95.97","96.45","97.45","95.55","9.21K","-0.52%"
"2022- 09- 19","96.47","96.67","97.05","96.05","6.26K","-0.44%"
"2022- 09- 16","96.90","95.60","96.92","95.45","12.71K","0.88%"
"2022- 09- 15","96.05","95.47","96.83","95.33","16.54K","1.43%"
"2022- 09- 14","94.70","95.45","96.00","94.60","21.66K","-1.10%"
"2022- 09- 13","95.75","92.25","96.08","92.00","39.82K","4.21%"
"2022- 09- 12","91.88","92.78","93.25","91.38","25.18K","-1.38%"
"2022- 09- 09","93.17","91.42","93.45","91.05","29.24K","1.14%"
"2022- 09- 08","92.12","91.00","92.35","89.12","32.23K","1.14%"
"2022- 09- 07","91.08","91.75","93.22","90.83","22.70K","-0.02%"
"2022- 09- 06","91.10","90.03","91.25","89.58","20.63K","1.19%"
"2022- 09- 04","90.03","90.03","90.03","90.03","","0.00%"
"2022- 09- 02","90.03","91.33","91.92","89.75","22.83K","-2.09%"
"2022- 09- 01","91.95","91.00","92.42","90.75","16.29K","0.46%"
"2022- 08- 31","91.53","93.17","93.38","91.00","23.89K","-2.21%"
"2022- 08- 30","93.60","91.75","94.40","91.75","19.07K","1.46%"
"2022- 08- 29","92.25","90.65","92.45","90.40","13.35K","1.77%"
"2022- 08- 26","90.65","90.80","91.50","90.28","16.90K","-0.49%"
"2022- 08- 25","91.10","90.38","91.42","90.00","15.93K","0.80%"
"2022- 08- 24","90.38","91.97","92.50","90.25","24.18K","-2.71%"
"2022- 08- 23","92.90","94.38","96.97","92.58","23.16K","-1.14%"
"2022- 08- 22","93.97","92.75","95.00","92.12","17.31K","0.91%"
"2022- 08- 19","93.12","93.33","94.00","91.90","21.78K","-0.19%"
"2022- 08- 18","93.30","97.47","97.53","93.30","25.41K","-4.84%"
"2022- 08- 17","98.05","97.00","98.45","95.58","21.99K","1.52%"
"2022- 08- 16","96.58","100.50","101.17","96.30","26.12K","-3.98%"
"2022- 08- 15","100.58","99.83","100.83","98.62","15.99K","-17.37%"
"2022- 08- 12","121.72","122.20","122.35","121.67","2.00K","-0.56%"
"2022- 08- 11","122.40","122.40","122.53","122.22","2.75K","0.12%"
"2022- 08- 10","122.25","122.40","122.47","122.10","3.15K","0.04%"
"2022- 08- 09","122.20","121.67","122.30","121.25","4.37K","0.33%"
"2022- 08- 08","121.80","121.00","121.97","120.47","4.08K","0.80%"
"2022- 08- 05","120.83","120.80","120.95","120.22","4.27K","0.15%"
"2022- 08- 04","120.65","120.47","121.35","120.05","8.18K","-0.29%"
"2022- 08- 03","121.00","120.85","121.70","120.55","6.60K","0.96%"
"2022- 08- 02","119.85","120.67","120.70","119.62","5.61K","-0.50%"
"2022- 08- 01","120.45","120.00","120.58","119.35","4.94K","-0.17%"
"2022- 07- 29","120.65","118.97","120.90","118.83","6.94K","1.28%"
"2022- 07- 28","119.12","119.45","120.70","118.83","7.35K","0.44%"
"2022- 07- 27","118.60","117.55","118.80","117.50","7.36K","1.39%"
"2022- 07- 26","116.97","117.30","117.80","116.28","7.16K","-0.21%"
"2022- 07- 25","117.22","118.05","118.45","115.55","10.87K","-1.25%"
"2022- 07- 22","118.70","115.75","118.90","115.72","12.82K","2.06%"
"2022- 07- 21","116.30","115.95","116.85","115.38","10.41K","1.24%"
"2022- 07- 20","114.88","114.00","115.17","113.60","13.91K","1.82%"
"2022- 07- 19","112.83","111.53","113.22","110.70","12.55K","0.63%"
"2022- 07- 18","112.12","111.78","112.72","111.33","16.81K","-2.42%"
"2022- 07- 15","114.90","114.75","115.10","114.70","0.83K","-0.02%"
"2022- 07- 14","114.92","114.62","114.97","114.55","1.67K","0.37%"
"2022- 07- 13","114.50","114.20","114.75","114.10","2.37K","0.79%"
"2022- 07- 12","113.60","113.15","113.83","112.95","2.22K","0.40%"
"2022- 07- 11","113.15","113.25","113.47","112.50","3.07K","0.27%"
"2022- 07- 08","112.85","113.25","113.33","112.60","2.96K","-0.35%"
"2022- 07- 07","113.25","113.38","113.58","112.67","4.85K","0.09%"
"2022- 07- 06","113.15","112.78","114.42","112.38","7.68K","0.89%"
"2022- 07- 05","112.15","110.10","112.58","110.00","4.81K","2.23%"
"2022- 07- 03","109.70","109.70","109.70","109.70","","0.09%"
"2022- 07- 01","109.60","109.80","110.28","109.05","4.45K","0.44%"
"2022- 06- 30","109.12","109.80","110.65","108.58","6.01K","-0.26%"
