"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 03- 24","2,337.00","2,320.00","2,312.00","2,313.00","","0.47%"
"2023- 03- 23","2,326.00","2,313.50","2,313.00","2,313.50","46.76K","1.73%"
"2023- 03- 22","2,286.50","2,285.00","2,282.00","2,282.50","39.55K","0.88%"
"2023- 03- 21","2,266.50","2,289.00","2,284.00","2,286.00","55.05K","-0.35%"
"2023- 03- 20","2,274.50","2,287.00","2,282.50","2,282.50","38.19K","0.02%"
"2023- 03- 17","2,274.00","2,288.00","2,280.00","2,280.00","50.17K","0.29%"
"2023- 03- 16","2,267.50","2,295.00","2,286.00","2,287.00","50.62K","-0.42%"
"2023- 03- 15","2,277.00","2,300.00","2,295.00","2,295.50","74.19K","-3.21%"
"2023- 03- 14","2,352.50","2,329.00","2,320.00","2,321.00","43.54K","0.81%"
"2023- 03- 13","2,333.50","2,290.00","2,286.00","2,287.00","74.01K","0.89%"
"2023- 03- 10","2,313.00","2,300.00","2,297.00","2,297.50","67.68K","-0.64%"
"2023- 03- 09","2,328.00","2,342.00","2,335.00","2,335.00","31.34K","-1.10%"
"2023- 03- 08","2,354.00","2,340.00","2,335.00","2,336.00","51.93K","0.17%"
"2023- 03- 07","2,350.00","2,361.00","2,361.00","2,360.00","38.46K","-1.34%"
"2023- 03- 06","2,382.00","2,370.00","2,367.00","2,367.00","39.03K","-0.96%"
"2023- 03- 03","2,405.00","2,410.00","2,403.00","2,404.00","34.22K","0.23%"
"2023- 03- 02","2,399.50","2,412.00","2,410.00","2,411.00","43.51K","-1.32%"
"2023- 03- 01","2,431.50","2,415.00","2,405.50","2,406.00","49.09K","2.47%"
"2023- 02- 28","2,373.00","2,350.00","2,345.00","2,345.00","38.40K","0.42%"
"2023- 02- 27","2,363.00","2,360.00","2,358.00","2,360.00","39.58K","1.18%"
"2023- 02- 24","2,335.50","2,356.00","2,355.00","2,356.00","","-2.53%"
"2023- 02- 23","2,396.00","2,408.00","2,408.00","2,408.00","37.98K","-0.91%"
"2023- 02- 22","2,418.00","2,432.00","2,428.00","2,428.00","41.89K","-2.01%"
"2023- 02- 21","2,467.50","2,473.00","2,470.00","2,472.00","43.76K","0.41%"
"2023- 02- 20","2,457.50","2,430.00","2,428.00","2,428.00","31.17K","2.93%"
"2023- 02- 17","2,387.50","2,375.00","2,372.00","2,373.00","44.83K","-0.27%"
"2023- 02- 16","2,394.00","2,388.00","2,381.00","2,382.00","46.94K","0.40%"
"2023- 02- 15","2,384.50","2,398.00","2,393.00","2,390.50","47.14K","-0.98%"
"2023- 02- 14","2,408.00","2,420.00","2,419.00","2,420.00","43.63K","-0.19%"
"2023- 02- 13","2,412.50","2,430.00","2,424.00","2,424.00","54.61K","-1.15%"
"2023- 02- 10","2,440.50","2,468.00","2,465.00","2,465.00","44.19K","-2.34%"
"2023- 02- 09","2,499.00","2,465.00","2,465.00","2,465.00","49.81K","0.73%"
"2023- 02- 08","2,481.00","2,508.00","2,507.00","2,508.00","64.18K","-1.72%"
"2023- 02- 07","2,524.50","2,512.00","2,513.00","2,512.00","40.65K","-0.36%"
"2023- 02- 06","2,533.50","2,530.00","2,525.00","2,527.00","50.90K","-1.40%"
"2023- 02- 03","2,569.50","2,595.00","2,593.00","2,593.00","39.84K","-1.82%"
"2023- 02- 02","2,617.00","2,610.00","2,607.00","2,609.00","55.12K","-0.55%"
"2023- 02- 01","2,631.50","2,645.00","2,642.00","2,644.00","43.50K","-0.47%"
"2023- 01- 31","2,644.00","2,580.00","2,573.50","2,573.50","55.09K","2.10%"
"2023- 01- 30","2,589.50","2,615.00","2,615.00","2,615.00","39.44K","-1.43%"
"2023- 01- 27","2,627.00","2,641.00","2,637.00","2,637.00","29.45K","-0.45%"
"2023- 01- 26","2,639.00","2,642.00","2,640.00","2,642.00","30.47K","-0.73%"
"2023- 01- 25","2,658.50","2,637.00","2,638.00","2,637.00","29.94K","0.30%"
"2023- 01- 24","2,650.50","2,630.00","2,626.00","2,627.00","29.73K","0.53%"
"2023- 01- 23","2,636.50","2,625.00","2,620.00","2,619.00","24.39K","1.00%"
"2023- 01- 20","2,610.50","2,620.00","2,618.00","2,614.00","33.43K","0.89%"
"2023- 01- 19","2,587.50","2,574.00","2,571.00","2,570.50","53.22K","-1.91%"
"2023- 01- 18","2,638.00","2,660.00","2,662.00","2,659.00","69.66K","0.74%"
"2023- 01- 17","2,618.50","2,595.00","2,586.00","2,587.00","44.74K","-0.10%"
"2023- 01- 16","2,621.00","2,629.00","2,624.00","2,624.00","58.20K","1.00%"
"2023- 01- 13","2,595.00","2,546.00","2,545.00","2,546.00","73.01K","1.82%"
"2023- 01- 12","2,548.50","2,482.00","2,475.50","2,476.00","56.55K","1.53%"
"2023- 01- 11","2,510.00","2,487.00","2,486.00","2,485.00","54.33K","1.89%"
"2023- 01- 10","2,463.50","2,432.00","2,430.00","2,432.00","61.28K","1.03%"
"2023- 01- 09","2,438.50","2,370.00","2,368.00","2,370.00","71.02K","6.23%"
"2023- 01- 06","2,295.50","2,275.00","2,274.00","2,273.00","51.62K","1.77%"
"2023- 01- 05","2,255.50","2,310.00","2,303.00","2,304.00","45.60K","-0.49%"
"2023- 01- 04","2,266.50","2,287.00","2,286.00","2,287.00","50.90K","-1.93%"
"2023- 01- 03","2,311.00","2,369.00","2,368.00","2,369.00","54.93K","-2.82%"
"2022- 12- 30","2,378.00","2,397.00","2,391.00","2,392.00","29.18K","-1.12%"
"2022- 12- 29","2,405.00","2,400.00","2,399.00","2,399.00","23.86K","1.01%"
"2022- 12- 28","2,381.00","2,378.00","2,376.00","2,378.00","31.08K","-0.36%"
"2022- 12- 23","2,389.50","2,378.00","2,371.00","2,373.00","24.64K","-0.69%"
"2022- 12- 22","2,406.00","2,398.00","2,395.00","2,397.00","25.55K","0.61%"
"2022- 12- 21","2,391.50","2,395.00","2,392.00","2,392.00","30.10K","0.80%"
"2022- 12- 20","2,372.50","2,371.00","2,370.00","2,371.00","40.10K","0.49%"
"2022- 12- 19","2,361.00","2,378.00","2,363.50","2,364.00","30.52K","-0.59%"
"2022- 12- 16","2,375.00","2,398.00","2,396.00","2,398.00","39.58K","-0.38%"
"2022- 12- 15","2,384.00","2,435.00","2,428.00","2,428.00","49.86K","-2.45%"
"2022- 12- 14","2,444.00","2,428.00","2,427.00","2,428.00","25.66K","-0.69%"
"2022- 12- 13","2,461.00","2,430.00","2,427.00","2,427.00","40.43K","1.95%"
"2022- 12- 12","2,414.00","2,440.00","2,428.00","2,430.00","37.30K","-2.68%"
"2022- 12- 09","2,480.50","2,485.00","2,487.50","2,485.00","27.20K","-0.90%"
"2022- 12- 08","2,503.00","2,500.00","2,497.00","2,498.00","31.52K","0.70%"
"2022- 12- 07","2,485.50","2,485.00","2,476.50","2,476.50","35.77K","-0.92%"
"2022- 12- 06","2,508.50","2,497.00","2,490.00","2,490.00","42.06K","-0.56%"
"2022- 12- 05","2,522.50","2,520.00","2,515.00","2,517.00","44.15K","-0.90%"
"2022- 12- 02","2,545.50","2,485.00","2,477.00","2,479.00","52.48K","2.43%"
"2022- 12- 01","2,485.00","2,465.00","2,460.00","2,460.50","58.01K","0.30%"
"2022- 11- 30","2,477.50","2,425.00","2,420.00","2,419.00","54.78K","4.12%"
"2022- 11- 29","2,379.50","2,384.00","2,382.00","2,382.00","30.25K","0.72%"
"2022- 11- 28","2,362.50","2,353.50","2,353.00","2,353.50","25.18K","0.00%"
