"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 03- 24","253.95","243.10","253.95","242.15","0.98K","4.10%"
"2023- 03- 23","243.95","240.55","244.65","239.00","0.39K","1.46%"
"2023- 03- 22","240.45","239.80","243.85","237.05","0.50K","0.82%"
"2023- 03- 21","238.50","238.00","240.40","235.55","0.32K","0.15%"
"2023- 03- 20","238.15","243.85","243.85","236.15","0.31K","-1.81%"
"2023- 03- 17","242.55","243.85","244.20","237.50","0.34K","1.19%"
"2023- 03- 16","239.70","242.65","244.85","238.10","0.31K","-0.19%"
"2023- 03- 15","240.15","244.60","245.60","239.05","0.53K","-1.82%"
"2023- 03- 14","244.60","234.85","244.90","234.70","0.43K","-7.05%"
"2023- 03- 13","263.15","242.45","243.90","234.15","0.59K","-2.19%"
"2023- 03- 10","269.05","272.60","272.60","263.50","0.03K","-1.54%"
"2023- 03- 09","273.25","270.00","270.00","270.00","0.00K","4.19%"
"2023- 03- 08","262.25","272.05","272.05","272.05","0.00K","-2.80%"
"2023- 03- 07","269.80","264.00","268.00","264.00","0.01K","3.10%"
"2023- 03- 06","261.70","263.35","263.35","263.35","0.00K","1.38%"
"2023- 03- 03","258.15","258.00","258.00","258.00","0.00K","0.66%"
"2023- 03- 02","256.45","261.70","261.70","256.00","0.02K","-4.79%"
"2023- 03- 01","269.35","280.95","282.50","266.50","0.09K","-3.58%"
"2023- 02- 28","279.35","276.50","282.50","275.00","0.30K","2.14%"
"2023- 02- 27","273.50","256.50","273.50","256.35","0.42K","7.89%"
"2023- 02- 24","253.50","243.55","253.50","243.10","0.56K","4.11%"
"2023- 02- 23","243.50","241.90","246.55","240.75","0.45K","0.95%"
"2023- 02- 22","241.20","236.05","242.50","235.20","0.62K","2.16%"
"2023- 02- 21","236.10","239.15","239.95","233.45","0.88K","-1.71%"
"2023- 02- 17","240.20","235.55","240.50","234.80","1.03K","2.41%"
"2023- 02- 16","234.55","230.95","236.50","230.25","0.94K","1.56%"
"2023- 02- 15","230.95","232.50","234.15","228.65","1.05K","-1.49%"
"2023- 02- 14","234.45","230.50","236.00","229.45","1.53K","0.69%"
"2023- 02- 13","232.85","245.55","245.55","232.55","1.95K","-7.80%"
"2023- 02- 10","252.55","260.00","260.00","252.55","1.72K","-3.81%"
"2023- 02- 09","262.55","256.15","266.95","256.00","1.97K","2.18%"
"2023- 02- 08","256.95","252.00","258.90","250.80","1.10K","3.23%"
"2023- 02- 07","248.90","244.10","253.00","243.60","1.15K","2.36%"
"2023- 02- 06","243.15","239.10","244.20","236.80","0.89K","0.58%"
"2023- 02- 03","241.75","240.85","245.15","231.65","2.00K","1.11%"
"2023- 02- 02","239.10","230.55","244.75","230.55","2.35K","4.32%"
"2023- 02- 01","229.20","220.50","229.20","220.50","2.24K","4.56%"
"2023- 01- 31","219.20","209.45","219.30","209.00","1.61K","4.73%"
"2023- 01- 30","209.30","205.85","211.40","205.75","0.94K","1.73%"
"2023- 01- 27","205.75","205.50","206.50","205.40","0.59K","0.12%"
"2023- 01- 26","205.50","204.05","206.10","203.90","0.82K","0.69%"
"2023- 01- 25","204.10","204.40","205.00","203.50","0.63K","0.15%"
"2023- 01- 24","203.80","205.25","205.30","203.65","0.82K","-0.29%"
"2023- 01- 23","204.40","204.00","207.00","202.80","0.79K","0.44%"
"2023- 01- 20","203.50","203.85","203.85","203.15","0.78K","-0.34%"
"2023- 01- 19","204.20","205.85","207.80","203.70","1.17K","-0.66%"
"2023- 01- 18","205.55","206.20","208.50","205.45","1.00K","-0.32%"
"2023- 01- 17","206.20","206.25","207.40","204.75","0.86K","-0.48%"
"2023- 01- 13","207.20","207.45","213.80","206.85","0.87K","-0.10%"
"2023- 01- 12","207.40","208.00","208.20","206.55","0.60K","-0.10%"
"2023- 01- 11","207.60","207.50","208.50","206.50","0.48K","-0.50%"
"2023- 01- 10","208.65","207.40","207.75","206.05","0.38K","-0.12%"
"2023- 01- 09","208.90","208.70","209.00","208.50","0.01K","0.10%"
"2023- 01- 06","208.70","207.35","209.25","207.35","0.01K","0.46%"
"2023- 01- 05","207.75","204.25","206.35","204.15","0.67K","1.12%"
"2023- 01- 04","205.45","205.00","205.00","205.00","0.00K","0.86%"
"2023- 01- 03","203.70","202.20","203.00","202.20","0.01K","-1.31%"
"2022- 12- 30","206.40","206.00","209.40","205.05","0.03K","0.05%"
"2022- 12- 29","206.30","203.20","213.00","203.20","0.18K","1.53%"
"2022- 12- 28","203.20","204.50","206.45","199.65","0.36K","-0.64%"
"2022- 12- 27","204.50","204.70","207.05","203.75","0.27K","-1.09%"
"2022- 12- 23","206.75","212.45","212.60","205.35","0.46K","-1.83%"
"2022- 12- 22","210.60","212.90","213.25","210.35","0.37K","-1.34%"
"2022- 12- 21","213.45","209.80","214.50","209.00","0.70K","2.47%"
"2022- 12- 20","208.30","207.85","209.65","206.50","0.53K","0.14%"
"2022- 12- 19","208.00","207.25","212.85","207.60","1.06K","-1.07%"
"2022- 12- 16","210.25","207.20","213.95","206.35","1.13K","1.47%"
"2022- 12- 15","207.20","210.85","210.85","202.95","1.13K","-1.43%"
"2022- 12- 14","210.20","208.80","211.80","208.35","1.33K","1.20%"
"2022- 12- 13","207.70","207.65","209.40","206.90","1.00K","-0.72%"
"2022- 12- 12","209.20","214.65","214.65","206.15","1.61K","-2.77%"
"2022- 12- 09","215.15","224.10","224.10","214.55","1.09K","-4.06%"
"2022- 12- 08","224.25","216.25","226.80","216.25","1.37K","2.63%"
"2022- 12- 07","218.50","208.90","218.50","208.25","1.39K","4.80%"
"2022- 12- 06","208.50","205.80","208.95","205.50","0.68K","1.39%"
"2022- 12- 05","205.65","204.25","206.90","203.00","0.60K","1.03%"
"2022- 12- 02","203.55","197.60","204.30","197.60","0.62K","2.91%"
"2022- 12- 01","197.80","200.25","201.75","197.50","1.05K","-1.44%"
"2022- 11- 30","200.70","205.05","205.70","200.00","0.74K","-2.12%"
"2022- 11- 29","205.05","207.00","207.00","203.55","0.31K","-0.77%"
"2022- 11- 28","206.65","210.60","210.65","204.70","0.41K","-1.97%"
"2022- 11- 25","210.80","206.40","212.05","206.20","0.64K","2.13%"
"2022- 11- 23","206.40","207.50","208.05","203.05","0.41K","-0.46%"
"2022- 11- 22","207.35","205.75","208.30","204.75","0.25K","0.78%"
"2022- 11- 21","205.75","203.15","206.75","201.05","0.45K","2.29%"
"2022- 11- 18","201.15","201.00","203.65","199.40","0.49K","0.07%"
"2022- 11- 17","201.00","201.85","202.90","198.65","0.43K","-0.81%"
"2022- 11- 16","202.65","200.80","204.30","199.80","0.40K","2.35%"
"2022- 11- 15","198.00","194.90","204.55","194.90","1.17K","1.56%"
"2022- 11- 14","194.95","202.55","203.30","194.70","0.97K","-4.11%"
"2022- 11- 11","203.30","206.60","206.60","200.60","0.71K","-2.35%"
"2022- 11- 10","208.20","213.75","213.75","206.90","0.89K","-9.02%"
"2022- 11- 09","228.85","211.20","214.90","210.30","0.45K","1.35%"
"2022- 11- 08","225.80","230.80","231.00","224.00","0.01K","-2.17%"
"2022- 11- 07","230.80","212.85","219.00","212.05","0.50K","1.32%"
"2022- 11- 04","227.80","210.15","215.75","210.00","0.44K","3.01%"
"2022- 11- 03","221.15","221.15","221.15","221.15","0.00K","5.61%"
"2022- 11- 02","209.40","204.95","207.30","202.65","0.34K","0.82%"
"2022- 11- 01","207.70","209.00","209.00","207.20","0.06K","0.65%"
"2022- 10- 31","206.35","211.05","213.50","205.00","0.19K","-0.41%"
"2022- 10- 28","207.20","207.45","209.75","204.95","0.15K","0.12%"
"2022- 10- 27","206.95","215.50","216.85","206.20","0.47K","-4.26%"
"2022- 10- 26","216.15","215.00","219.50","213.95","0.50K","0.32%"
"2022- 10- 25","215.45","217.60","217.65","211.15","0.56K","-1.15%"
"2022- 10- 24","217.95","210.40","218.75","210.40","0.53K","3.88%"
"2022- 10- 21","209.80","211.00","211.70","209.05","0.80K","-0.66%"
"2022- 10- 20","211.20","210.00","213.25","208.80","0.88K","0.19%"
"2022- 10- 19","210.80","208.70","212.00","204.35","1.41K","1.01%"
"2022- 10- 18","208.70","199.70","209.15","199.30","1.57K","4.80%"
"2022- 10- 17","199.15","196.80","200.75","196.80","0.76K","1.76%"
"2022- 10- 14","195.70","193.25","196.80","193.10","1.16K","0.95%"
"2022- 10- 13","193.85","198.20","198.90","192.85","0.76K","-2.00%"
"2022- 10- 12","197.80","191.00","199.70","189.55","1.20K","3.89%"
"2022- 10- 11","190.40","186.65","191.00","186.15","0.83K","2.04%"
"2022- 10- 10","186.60","193.15","193.50","186.05","0.68K","-3.24%"
"2022- 10- 07","192.85","187.35","193.15","185.40","0.68K","2.58%"
"2022- 10- 06","188.00","190.50","191.65","187.05","0.67K","-1.54%"
"2022- 10- 05","190.95","197.95","198.95","189.15","1.06K","-4.02%"
"2022- 10- 04","198.95","199.95","202.15","196.50","0.57K","0.35%"
"2022- 10- 03","198.25","194.75","201.40","193.05","0.91K","3.58%"
