"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 10- 25","488.40","500.90","500.90","486.60","0.31K","-3.57%"
"2022- 10- 24","506.50","528.70","541.50","502.70","0.29K","-6.03%"
"2022- 10- 21","539.00","543.50","550.00","531.20","0.43K","0.99%"
"2022- 10- 20","533.70","520.40","538.80","520.40","0.45K","0.49%"
"2022- 10- 19","531.10","511.90","540.00","508.00","0.48K","2.71%"
"2022- 10- 18","517.10","513.90","518.70","491.00","0.32K","1.47%"
"2022- 10- 17","509.60","492.20","520.40","485.50","0.51K","3.16%"
"2022- 10- 14","494.00","497.80","503.40","487.10","0.42K","-0.86%"
"2022- 10- 13","498.30","466.50","498.50","463.60","0.27K","1.92%"
"2022- 10- 12","488.90","479.80","497.00","473.50","0.32K","2.13%"
"2022- 10- 11","478.70","458.20","485.20","454.40","0.45K","5.74%"
"2022- 10- 10","452.70","448.60","452.70","432.10","0.16K","1.59%"
"2022- 10- 07","445.60","444.30","459.00","437.60","0.27K","-2.00%"
"2022- 10- 06","454.70","441.40","468.60","441.30","0.37K","4.15%"
"2022- 10- 05","436.60","434.00","437.60","421.20","0.21K","0.60%"
"2022- 10- 04","434.00","436.00","448.00","426.20","0.30K","1.88%"
"2022- 10- 03","426.00","437.70","442.30","421.30","0.40K","0.83%"
"2022- 09- 30","422.50","418.70","429.70","412.50","0.37K","2.82%"
"2022- 09- 29","410.90","431.90","432.40","402.80","0.59K","-5.06%"
"2022- 09- 28","432.80","443.70","451.00","420.10","0.28K","0.82%"
"2022- 09- 27","429.30","426.10","448.50","422.00","0.37K","4.50%"
"2022- 09- 26","410.80","432.70","443.90","410.70","0.45K","-5.56%"
"2022- 09- 23","435.00","451.80","455.00","430.10","0.55K","-5.48%"
"2022- 09- 22","460.20","489.90","489.90","460.00","0.36K","-7.22%"
"2022- 09- 21","496.00","521.70","522.20","492.10","0.30K","-3.82%"
"2022- 09- 20","515.70","503.60","527.00","502.00","0.33K","6.95%"
"2022- 09- 19","482.20","479.10","486.40","461.40","0.17K","0.21%"
"2022- 09- 16","481.20","488.90","488.90","469.50","0.24K","-0.48%"
"2022- 09- 15","483.50","499.00","499.00","482.00","0.01K","-5.38%"
"2022- 09- 14","511.00","549.70","549.70","511.00","0.04K","-8.75%"
"2022- 09- 13","560.00","550.00","567.00","548.00","0.19K","0.92%"
"2022- 09- 12","554.90","514.70","554.90","511.00","0.08K","9.02%"
"2022- 09- 09","509.00","511.90","519.90","504.70","0.05K","-0.86%"
"2022- 09- 08","513.40","500.90","514.90","499.00","0.10K","1.56%"
"2022- 09- 07","505.50","490.00","509.00","485.10","0.09K","3.16%"
"2022- 09- 06","490.00","492.20","496.30","485.00","0.08K","-0.93%"
"2022- 09- 04","494.60","494.60","494.60","494.60","","0.16%"
"2022- 09- 02","493.80","492.40","499.00","484.00","0.09K","-1.18%"
"2022- 09- 01","499.70","514.40","517.70","489.00","0.13K","-1.83%"
"2022- 08- 31","509.00","500.20","516.50","500.20","0.19K","0.83%"
"2022- 08- 30","504.80","503.70","514.00","495.20","0.27K","-2.17%"
"2022- 08- 29","516.00","523.40","524.50","509.80","0.15K","-1.45%"
"2022- 08- 26","523.60","520.00","549.00","511.80","0.16K","0.69%"
"2022- 08- 25","520.00","495.40","529.90","495.20","0.18K","4.97%"
"2022- 08- 24","495.40","522.00","529.40","490.00","0.31K","-3.99%"
"2022- 08- 23","516.00","504.60","530.00","503.20","0.25K","3.20%"
"2022- 08- 22","500.00","514.30","516.60","500.00","0.28K","-3.85%"
"2022- 08- 19","520.00","558.90","558.90","516.60","0.39K","-8.05%"
"2022- 08- 18","565.50","595.90","596.20","560.00","0.25K","-5.50%"
"2022- 08- 17","598.40","592.50","609.70","588.00","0.26K","0.39%"
"2022- 08- 16","596.10","581.80","598.30","577.80","0.21K","1.22%"
"2022- 08- 15","588.90","590.10","604.70","576.60","0.22K","0.03%"
"2022- 08- 12","588.70","602.70","611.40","583.80","0.22K","-1.16%"
"2022- 08- 11","595.60","621.70","635.60","577.10","0.65K","-1.03%"
"2022- 08- 10","601.80","573.00","601.80","573.00","0.49K","8.86%"
"2022- 08- 09","552.80","528.50","565.00","528.40","0.38K","6.45%"
"2022- 08- 08","519.30","489.00","528.20","483.20","0.40K","8.37%"
"2022- 08- 05","479.20","501.10","518.50","473.60","0.28K","-4.16%"
"2022- 08- 04","500.00","491.00","502.00","470.60","0.37K","1.38%"
"2022- 08- 03","493.20","521.00","521.30","483.00","0.36K","-5.37%"
"2022- 08- 02","521.20","541.00","541.00","520.40","0.23K","-2.43%"
"2022- 08- 01","534.20","529.80","545.20","514.10","0.35K","1.35%"
"2022- 07- 29","527.10","534.60","535.10","523.10","0.31K","-1.79%"
"2022- 07- 28","536.70","555.20","559.20","531.00","0.37K","-3.33%"
"2022- 07- 27","555.20","549.00","561.60","542.00","0.20K","-0.25%"
"2022- 07- 26","556.60","565.30","574.50","531.20","0.37K","-2.73%"
"2022- 07- 25","572.20","583.00","583.00","554.30","0.28K","-2.24%"
"2022- 07- 22","585.30","617.00","617.00","576.20","0.26K","-6.08%"
"2022- 07- 21","623.20","623.80","630.00","599.40","0.24K","-1.33%"
"2022- 07- 20","631.60","648.10","648.50","623.10","0.13K","-2.27%"
"2022- 07- 19","646.30","642.10","648.70","628.20","0.15K","0.86%"
"2022- 07- 18","640.80","655.00","659.90","626.20","0.18K","-6.04%"
"2022- 07- 15","682.00","655.00","682.00","655.00","0.19K","6.56%"
"2022- 07- 14","640.00","640.00","645.70","635.00","0.05K","-1.84%"
"2022- 07- 13","652.00","650.00","660.00","643.50","0.07K","1.09%"
"2022- 07- 12","645.00","656.60","656.60","643.00","0.03K","-2.44%"
"2022- 07- 11","661.10","660.00","670.00","640.30","0.03K","0.32%"
"2022- 07- 08","659.00","666.10","677.50","650.00","0.03K","-1.35%"
"2022- 07- 07","668.00","640.00","672.00","640.00","0.06K","5.20%"
"2022- 07- 06","635.00","650.00","650.00","610.30","0.08K","-0.78%"
"2022- 07- 05","640.00","654.00","654.00","626.60","0.06K","-2.59%"
"2022- 07- 03","657.00","657.00","657.00","657.00","","0.00%"
"2022- 07- 01","657.00","660.00","682.60","650.00","0.12K","-0.95%"
"2022- 06- 30","663.30","635.00","670.00","629.10","0.21K","4.69%"
"2022- 06- 29","633.60","628.00","642.50","624.20","0.20K","2.59%"
"2022- 06- 28","617.60","602.80","630.50","602.50","0.16K","1.08%"
"2022- 06- 27","611.00","603.10","617.50","603.10","0.09K","0.39%"
"2022- 06- 24","608.60","622.00","625.00","608.50","0.15K","-1.36%"
"2022- 06- 23","617.00","610.70","623.00","591.10","0.20K","0.88%"
"2022- 06- 22","611.60","628.80","630.10","603.30","0.29K","0.25%"
"2022- 06- 21","610.10","591.80","630.10","591.20","0.42K","4.17%"
"2022- 06- 19","585.70","585.70","585.70","585.70","","0.79%"
"2022- 06- 17","581.10","574.50","591.80","566.60","0.25K","2.13%"
"2022- 06- 16","569.00","560.10","578.90","556.00","0.22K","0.98%"
"2022- 06- 15","563.50","546.70","568.40","530.80","0.38K","4.74%"
"2022- 06- 14","538.00","519.30","552.70","518.50","0.22K","1.89%"
"2022- 06- 13","528.00","549.60","554.60","517.00","0.19K","-5.02%"
"2022- 06- 10","555.90","555.80","564.50","550.00","0.16K","-2.18%"
"2022- 06- 09","568.30","570.00","582.00","558.10","0.18K","-0.82%"
"2022- 06- 08","573.00","591.40","592.00","566.10","0.27K","-3.99%"
"2022- 06- 07","596.80","601.10","610.90","585.40","0.21K","-0.58%"
"2022- 06- 06","600.30","634.70","634.70","589.00","0.19K","-3.69%"
"2022- 06- 03","623.30","605.00","630.00","595.60","0.30K","4.14%"
"2022- 06- 02","598.50","600.80","624.00","594.00","0.34K","-1.66%"
"2022- 06- 01","608.60","644.80","644.80","604.50","0.42K","-6.87%"
"2022- 05- 31","653.50","698.80","699.20","649.80","0.27K","-6.74%"
"2022- 05- 29","700.70","700.70","700.70","700.70","","0.81%"
"2022- 05- 27","695.10","698.70","715.00","670.00","0.26K","1.77%"
"2022- 05- 26","683.00","670.90","690.00","659.10","0.24K","4.79%"
"2022- 05- 25","651.80","659.50","665.00","647.80","0.17K","-1.24%"
"2022- 05- 24","660.00","644.50","672.00","636.30","0.15K","1.24%"
"2022- 05- 23","651.90","670.10","675.00","640.60","0.19K","-2.31%"
"2022- 05- 20","667.30","675.00","690.50","655.00","0.15K","-3.36%"
"2022- 05- 19","690.50","728.50","728.50","690.50","0.24K","-6.63%"
"2022- 05- 18","739.50","778.90","778.90","739.00","0.20K","-6.15%"
"2022- 05- 17","788.00","804.50","812.20","775.50","0.13K","0.13%"
"2022- 05- 16","787.00","772.20","792.00","752.40","0.17K","2.42%"
"2022- 05- 14","768.40","768.40","768.40","768.40","","-16.48%"
"2022- 05- 13","920.00","985.00","985.00","920.00","0.02K","-8.37%"
"2022- 05- 12","1,004.00","1,024.90","1,024.90","1,000.00","0.04K","-0.35%"
"2022- 05- 11","1,007.50","1,011.00","1,025.00","1,007.50","0.10K","-1.42%"
"2022- 05- 10","1,022.00","1,008.00","1,025.00","1,008.00","0.07K","1.29%"
"2022- 05- 09","1,009.00","1,000.10","1,015.00","975.00","0.09K","1.00%"
"2022- 05- 07","999.00","999.00","999.00","999.00","","-0.11%"
"2022- 05- 06","1,000.10","990.00","1,005.00","985.00","0.15K","-1.95%"
"2022- 05- 05","1,020.00","1,010.00","1,033.40","993.80","0.13K","0.99%"
"2022- 05- 04","1,010.00","1,021.60","1,025.50","980.00","0.14K","-2.84%"
"2022- 05- 03","1,039.50","1,036.00","1,045.00","1,022.00","0.10K","0.46%"
"2022- 05- 02","1,034.70","1,033.90","1,054.00","1,025.00","0.09K","-0.48%"
"2022- 04- 29","1,039.70","1,025.00","1,047.40","1,023.00","0.18K","-0.49%"
"2022- 04- 28","1,044.80","1,044.70","1,045.90","1,020.00","0.08K","-0.72%"
"2022- 04- 27","1,052.40","1,036.30","1,062.80","1,026.10","0.19K","1.70%"
"2022- 04- 26","1,034.80","1,009.00","1,049.40","1,008.00","0.18K","1.95%"
"2022- 04- 25","1,015.00","980.20","1,017.30","945.60","0.15K","1.24%"
"2022- 04- 22","1,002.60","1,021.10","1,029.90","1,000.00","0.18K","-2.19%"
"2022- 04- 21","1,025.00","1,005.10","1,041.40","989.80","0.20K","2.95%"
"2022- 04- 20","995.60","960.00","995.60","945.70","0.25K","6.07%"
"2022- 04- 19","938.60","945.40","951.50","920.30","0.16K","1.59%"
"2022- 04- 18","923.90","887.90","924.20","871.70","0.19K","3.93%"
"2022- 04- 14","889.00","880.30","904.80","862.10","0.16K","0.60%"
"2022- 04- 13","883.70","876.60","902.50","844.80","0.18K","1.09%"
"2022- 04- 12","874.20","862.00","890.00","829.30","0.25K","-1.37%"
"2022- 04- 11","886.30","971.10","992.60","870.00","0.23K","-6.70%"
"2022- 04- 08","949.90","891.00","949.90","890.00","0.24K","6.38%"
"2022- 04- 07","892.90","864.90","896.70","846.70","0.35K","1.30%"
"2022- 04- 06","881.40","925.00","925.00","881.40","0.17K","-6.07%"
"2022- 04- 05","938.40","973.90","977.80","935.00","0.13K","-2.91%"
