"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 10- 27","178.13","178.73","179.05","177.75","1.91K","-0.39%"
"2022- 10- 26","178.82","177.40","179.00","177.05","1.59K","1.26%"
"2022- 10- 25","176.60","176.30","177.32","176.30","1.11K","0.53%"
"2022- 10- 24","175.68","175.15","175.77","175.15","0.92K","0.23%"
"2022- 10- 21","175.27","175.45","176.40","175.07","0.88K","-0.17%"
"2022- 10- 20","175.57","175.02","175.70","175.02","0.70K","0.20%"
"2022- 10- 19","175.23","175.07","175.48","174.70","1.10K","0.23%"
"2022- 10- 18","174.82","174.90","175.60","174.50","1.20K","0.04%"
"2022- 10- 17","174.75","173.88","175.20","173.77","1.32K","0.55%"
"2022- 10- 14","173.80","175.00","175.15","173.15","0.66K","-0.54%"
"2022- 10- 13","174.75","175.40","176.18","174.45","1.48K","-0.43%"
"2022- 10- 12","175.50","175.60","176.63","175.00","1.52K","0.24%"
"2022- 10- 11","175.07","172.60","175.40","172.43","1.78K","1.73%"
"2022- 10- 10","172.10","174.27","174.77","171.45","1.70K","-1.50%"
"2022- 10- 07","174.73","175.43","175.95","174.55","1.54K","-0.57%"
"2022- 10- 06","175.73","177.07","177.25","175.32","1.69K","-0.47%"
"2022- 10- 05","176.55","175.30","176.95","174.13","1.92K","1.09%"
"2022- 10- 04","174.65","175.95","176.10","174.25","1.42K","-0.50%"
"2022- 10- 03","175.52","174.52","176.55","174.43","1.39K","0.52%"
"2022- 09- 30","174.63","177.82","178.35","174.38","7.47K","-1.52%"
"2022- 09- 29","177.32","175.23","177.73","174.45","3.13K","1.33%"
"2022- 09- 28","175.00","176.50","176.60","174.60","3.32K","-0.40%"
"2022- 09- 27","175.70","177.00","177.00","175.05","0.82K","-0.66%"
"2022- 09- 26","176.88","177.95","178.60","176.75","0.82K","-0.70%"
"2022- 09- 23","178.13","178.70","178.80","177.57","0.67K","-0.04%"
"2022- 09- 22","178.20","178.60","178.98","178.05","0.70K","0.01%"
"2022- 09- 21","178.18","178.77","179.52","178.05","0.66K","-0.35%"
"2022- 09- 20","178.80","179.60","180.35","178.65","0.95K","-1.92%"
"2022- 09- 19","182.30","181.00","182.68","180.82","6.12K","0.58%"
"2022- 09- 16","181.25","180.70","181.60","179.57","4.45K","0.18%"
"2022- 09- 15","180.93","180.82","182.10","180.18","5.39K","-0.28%"
"2022- 09- 14","181.43","180.90","181.90","179.80","6.58K","0.50%"
"2022- 09- 13","180.52","183.10","183.13","179.00","9.26K","-1.42%"
"2022- 09- 12","183.13","185.55","186.20","182.88","7.45K","0.07%"
"2022- 09- 09","183.00","182.65","183.65","182.23","1.86K","-0.76%"
"2022- 09- 08","184.40","184.32","184.90","183.57","","1.30%"
"2022- 09- 07","182.02","183.50","183.98","181.80","2.66K","-1.17%"
"2022- 09- 06","184.18","183.43","185.30","183.43","2.17K","0.16%"
"2022- 09- 02","183.88","182.93","184.05","182.23","1.86K","0.40%"
"2022- 09- 01","183.15","182.70","184.15","182.63","1.20K","0.38%"
"2022- 08- 31","182.45","182.77","183.00","182.07","1.67K","0.15%"
"2022- 08- 30","182.18","181.30","182.65","180.85","2.39K","1.25%"
