"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 06- 22","6.858","6.844","6.930","6.575","92.47K","0.73%"
"2022- 06- 21","6.808","6.800","6.976","6.554","120.01K","1.42%"
"2022- 06- 20","6.713","6.706","6.840","6.635","","0.16%"
"2022- 06- 19","6.702","6.752","6.758","6.659","","-3.49%"
"2022- 06- 17","6.944","7.454","7.588","6.881","103.76K","-6.97%"
"2022- 06- 16","7.464","7.540","8.027","7.330","137.43K","0.59%"
"2022- 06- 15","7.420","7.269","7.698","7.201","123.59K","3.21%"
"2022- 06- 14","7.189","8.686","8.889","7.008","273.72K","-16.49%"
"2022- 06- 13","8.609","8.920","8.950","8.382","167.56K","-2.72%"
"2022- 06- 10","8.850","8.997","9.149","8.622","134.61K","-1.26%"
"2022- 06- 09","8.963","8.629","9.036","8.016","244.48K","3.03%"
"2022- 06- 08","8.699","9.335","9.664","8.427","250.30K","-6.39%"
"2022- 06- 07","9.293","9.359","9.544","9.200","140.03K","-0.31%"
"2022- 06- 06","9.322","8.750","9.400","8.732","129.10K","9.37%"
"2022- 06- 03","8.523","8.412","8.693","8.267","75.23K","0.45%"
"2022- 06- 02","8.485","8.783","9.057","8.377","119.01K","-2.43%"
"2022- 06- 01","8.696","8.271","8.791","8.146","111.96K","6.76%"
"2022- 05- 31","8.145","8.874","8.916","8.118","125.48K","-6.23%"
"2022- 05- 30","8.686","8.819","8.908","8.598","","-1.46%"
"2022- 05- 29","8.815","8.829","8.841","8.701","","1.01%"
"2022- 05- 27","8.727","8.811","8.895","8.285","107.09K","-2.03%"
"2022- 05- 26","8.908","8.984","9.401","8.785","1.47K","-0.70%"
"2022- 05- 25","8.971","8.831","9.399","8.765","37.39K","1.99%"
"2022- 05- 24","8.796","8.727","8.930","8.605","31.66K","0.59%"
"2022- 05- 23","8.744","8.079","8.822","7.851","65.55K","8.18%"
"2022- 05- 20","8.083","8.112","8.189","7.837","85.46K","-2.71%"
"2022- 05- 19","8.308","8.240","8.500","7.905","90.58K","-0.72%"
"2022- 05- 18","8.368","8.318","8.548","8.160","80.72K","0.77%"
"2022- 05- 17","8.304","8.016","8.372","8.015","76.67K","4.37%"
"2022- 05- 16","7.956","7.700","8.183","7.663","93.52K","3.82%"
"2022- 05- 13","7.663","7.673","7.919","7.515","85.04K","-0.98%"
"2022- 05- 12","7.739","7.637","7.790","7.255","107.06K","1.30%"
"2022- 05- 11","7.640","7.312","7.721","7.296","120.93K","3.45%"
"2022- 05- 10","7.385","7.030","7.463","6.430","185.46K","5.11%"
"2022- 05- 09","7.026","7.843","8.287","6.962","202.62K","-12.64%"
"2022- 05- 06","8.043","8.843","8.996","7.957","168.30K","-8.43%"
"2022- 05- 05","8.783","8.355","8.913","8.117","160.16K","4.37%"
"2022- 05- 04","8.415","7.815","8.474","7.729","132.32K","5.80%"
"2022- 05- 03","7.954","7.540","8.169","7.539","153.34K","6.41%"
"2022- 05- 02","7.475","7.412","7.617","7.219","110.92K","3.19%"
"2022- 04- 29","7.244","6.939","7.335","6.805","109.24K","5.17%"
"2022- 04- 28","6.888","7.395","7.422","6.879","139.57K","-6.15%"
"2022- 04- 27","7.339","7.009","7.524","6.956","","7.14%"
"2022- 04- 26","6.850","6.836","7.050","6.662","41.41K","2.71%"
"2022- 04- 25","6.669","6.414","6.966","6.345","32.52K","2.07%"
"2022- 04- 22","6.534","6.938","7.080","6.438","80.60K","-6.08%"
"2022- 04- 21","6.957","6.825","7.146","6.703","145.26K","0.29%"
"2022- 04- 20","6.937","7.253","7.410","6.791","157.96K","-3.33%"
"2022- 04- 19","7.176","7.776","7.939","6.954","237.00K","-8.24%"
"2022- 04- 18","7.820","7.367","8.065","7.365","191.08K","7.12%"
"2022- 04- 14","7.300","7.046","7.346","6.950","214.22K","4.33%"
"2022- 04- 13","6.997","6.704","7.091","6.652","210.55K","4.75%"
"2022- 04- 12","6.680","6.705","6.947","6.600","234.25K","0.56%"
"2022- 04- 11","6.643","6.394","6.722","6.247","177.96K","5.81%"
"2022- 04- 08","6.278","6.411","6.538","6.257","188.34K","-1.27%"
"2022- 04- 07","6.359","6.116","6.440","6.000","199.51K","5.47%"
"2022- 04- 06","6.029","6.078","6.394","6.000","166.72K","-0.05%"
"2022- 04- 05","6.032","5.782","6.201","5.771","158.22K","5.60%"
"2022- 04- 04","5.712","5.745","5.857","5.650","137.18K","-0.14%"
"2022- 04- 01","5.720","5.627","5.778","5.505","178.52K","1.38%"
"2022- 03- 31","5.642","5.575","5.832","5.454","159.72K","0.66%"
"2022- 03- 30","5.605","5.329","5.624","5.270","117.85K","5.04%"
"2022- 03- 29","5.336","5.453","5.491","5.255","2.27K","-3.12%"
"2022- 03- 28","5.508","5.551","5.652","5.419","33.91K","-1.13%"
"2022- 03- 25","5.571","5.401","5.577","5.345","29.47K","3.15%"
"2022- 03- 24","5.401","5.115","5.464","5.063","84.23K","3.23%"
"2022- 03- 23","5.232","5.147","5.330","5.092","74.54K","0.87%"
"2022- 03- 22","5.187","4.948","5.204","4.877","122.75K","5.86%"
"2022- 03- 21","4.900","4.909","4.976","4.748","75.46K","0.76%"
"2022- 03- 18","4.863","4.930","4.957","4.811","67.27K","-2.55%"
"2022- 03- 17","4.990","4.747","5.001","4.691","93.84K","5.10%"
"2022- 03- 16","4.748","4.625","4.776","4.594","80.52K","3.94%"
"2022- 03- 15","4.568","4.679","4.682","4.459","86.94K","-1.93%"
"2022- 03- 14","4.658","4.705","4.759","4.506","73.96K","-1.42%"
"2022- 03- 11","4.725","4.657","4.797","4.622","84.51K","2.03%"
"2022- 03- 10","4.631","4.520","4.671","4.499","81.81K","2.32%"
"2022- 03- 09","4.526","4.569","4.625","4.450","95.13K","-0.02%"
"2022- 03- 08","4.527","4.818","4.882","4.507","159.17K","-6.33%"
"2022- 03- 07","4.833","5.041","5.184","4.781","130.86K","-3.65%"
"2022- 03- 04","5.016","4.750","5.045","4.728","125.39K","6.23%"
"2022- 03- 03","4.722","4.795","4.936","4.628","137.15K","-0.84%"
"2022- 03- 02","4.762","4.600","4.911","4.600","141.69K","4.13%"
"2022- 03- 01","4.573","4.408","4.627","4.340","112.55K","3.88%"
"2022- 02- 28","4.402","4.620","4.683","4.366","107.19K","-1.52%"
"2022- 02- 25","4.470","4.573","4.716","4.417","114.86K","-2.15%"
"2022- 02- 24","4.568","4.603","4.940","4.293","3.54K","-1.19%"
"2022- 02- 23","4.623","4.504","4.704","4.452","47.18K","2.78%"
"2022- 02- 22","4.498","4.594","4.861","4.448","42.64K","-4.40%"
"2022- 02- 21","4.705","4.580","4.745","4.520","","2.75%"
"2022- 02- 20","4.579","4.529","4.598","4.527","","3.34%"
"2022- 02- 18","4.431","4.517","4.654","4.371","73.22K","-1.23%"
